mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
114.53132041295369,1.6640158474004092,0.10867396990458171,0.006601267814300602,6,800,1,0.05,"{'depth': 6, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",0.7495862651580631,0.8857203516679533,0.9876594644676612,0.8743220270978925,0.09752658922786214,20,0.9999995558402126,0.999989340165103,0.9999649113767975,0.9999846024607044,1.4534879739343075e-05
115.23007361094157,0.9424607826212854,0.08600147565205891,0.020542863538689345,6,800,1,0.1,"{'depth': 6, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.7543254500893205,0.8824513356328966,0.9873263446271323,0.8747010434497832,0.0952799541195938,19,1.0,1.0,1.0,1.0,0.0
116.01957885424297,1.590163670441923,0.09132870038350423,0.017747588371713828,6,800,3,0.03,"{'depth': 6, 'iterations': 800, 'l2_leaf_reg': 3, 'learning_rate': 0.03}",0.751080418682782,0.8860197153646419,0.9826138092831173,0.8732379811101804,0.0949542250723495,27,0.9999480333048775,0.9995971470728537,0.9992293827689099,0.9995915210488805,0.00029341482275772196
115.91064580281575,1.1035097122647364,0.10066660245259602,0.010270409063676244,6,800,3,0.05,"{'depth': 6, 'iterations': 800, 'l2_leaf_reg': 3, 'learning_rate': 0.05}",0.7508201410473822,0.8849972595341119,0.9863394215795921,0.8740522740536955,0.09646131316397383,21,0.9999988896005316,0.9999744608122261,0.9998658637442136,0.9999464047189904,5.781768984213033e-05
115.073659102122,1.2910980747102003,0.10100158055623372,0.013481866062243428,6,800,3,0.1,"{'depth': 6, 'iterations': 800, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",0.7565098279236152,0.884452719634794,0.9857300343513179,0.8755641939699091,0.0937895878196194,17,1.0,1.0,0.9999995558402126,0.9999998519467376,2.0937893173105468e-07
116.75766770044963,0.40847073203628526,0.10566417376200359,0.011266126439822114,6,800,5,0.03,"{'depth': 6, 'iterations': 800, 'l2_leaf_reg': 5, 'learning_rate': 0.03}",0.7468155964044377,0.8847174388680676,0.981710388275603,0.8710811411827027,0.09637894746942897,31,0.9999040614859276,0.9993943881299184,0.9987663461905747,0.9993549319354735,0.00046530750891572253
117.97169820467631,1.3455413688060929,0.09466878573099773,0.011441573363154219,6,800,5,0.05,"{'depth': 6, 'iterations': 800, 'l2_leaf_reg': 5, 'learning_rate': 0.05}",0.7506682384001009,0.8842581776479252,0.9857993232781479,0.873575246442058,0.09628863045844269,25,0.9999975571211694,0.9999622464180734,0.9998658637442137,0.9999418890944854,5.56572957257035e-05
133.71367828051248,6.720842297091962,0.20099854469299316,0.06748844269459948,6,800,5,0.1,"{'depth': 6, 'iterations': 800, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",0.7542019736684311,0.8821546368949322,0.9849749627127858,0.8737771910920498,0.09439872639236768,22,1.0,1.0,0.9999973350412757,0.9999991116804252,1.2562735903339917e-06
229.95467042922974,10.99445332067609,0.1696659723917643,0.0689945288440679,8,500,1,0.03,"{'depth': 8, 'iterations': 500, 'l2_leaf_reg': 1, 'learning_rate': 0.03}",0.7538377626427862,0.8893384772958841,0.9858988150705191,0.8763583516697299,0.09518209131070757,15,0.9999975571211694,0.9999538073821134,0.9999087251636951,0.999953363222326,3.626685470801129e-05
245.85466567675272,3.5607623111366586,0.13766678174336752,0.08329241943247596,8,500,1,0.05,"{'depth': 8, 'iterations': 500, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",0.7598392496897544,0.8911097865279229,0.9878468998979321,0.8795986453718698,0.09343893519798413,2,1.0,1.0,0.9999997779201063,0.9999999259733688,1.0468946586552734e-07
245.18066787719727,1.8225322586680457,0.13999533653259277,0.04012283399023522,8,500,1,0.1,"{'depth': 8, 'iterations': 500, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.7540012134445391,0.8864016927817816,0.9882333189129456,0.8762120750464221,0.09589591941348095,16,1.0,1.0,1.0,1.0,0.0
249.7346386909485,3.876487776413168,0.23200496037801108,0.026084298790633134,8,500,3,0.03,"{'depth': 8, 'iterations': 500, 'l2_leaf_reg': 3, 'learning_rate': 0.03}",0.7548593301537416,0.891886177836249,0.9829655838347158,0.8765703639415688,0.09375160926097781,12,0.9999813452889303,0.9997832500237624,0.9996850907107534,0.9998165620078154,0.0001232178558052311
252.63515106836954,2.942838687043122,0.1598527431488037,0.0190795187957217,8,500,3,0.05,"{'depth': 8, 'iterations': 500, 'l2_leaf_reg': 3, 'learning_rate': 0.05}",0.7547003209498623,0.8892434271013865,0.9854937413444361,0.8764791631318949,0.09465233066462678,13,0.9999997779201063,0.9999955584021263,0.9999735724926514,0.999989636271628,1.1488685136622038e-05
259.40968322753906,4.213556604901899,0.10666656494140625,0.03307012114002579,8,500,3,0.1,"{'depth': 8, 'iterations': 500, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",0.7533021059392159,0.8887202068718626,0.9878362400630352,0.8766195176247046,0.0961297214791715,11,1.0,1.0,1.0,1.0,0.0
